Date,Time,Platform,Post Title,Caption,Media File,Reply 1,Reply 2,Week Theme,Notes
04/22/2026,08:00,X (Twitter),Day 1 — Morning hot take,"The creators making £8K/month on Hotica all do the same thing:

They treat it like a relationship, not a content schedule.

Subscribers pay for access to a person. Not a feed.",,,,ARRIVAL,No image — optimised for shares and reach
04/22/2026,09:00,X (Twitter),Day 1 — Carla Reys photo drop,"She sets the standard. Then raises it.

Limited spots. Replies to every message.

→ https://hotica.com/host/CarlaReysX 🔥",media/Model Photos/CarlaReysX4.png,,,ARRIVAL,Photo stop-the-scroll — Carla is live on Hotica
04/22/2026,12:00,X (Twitter),Day 1 — MaryLee thread,"She keeps her page intentionally small.

Fewer subscribers. More personal. Zero churn.

That is not a limitation. That is the strategy.

→ https://hotica.com/host/MaryLee",media/Model Photos/CarlaReysX20.png,"Why she does it:

Fewer subscribers = more personal attention.
More attention = zero churn.
Zero churn = predictable income every single month.

She's not chasing numbers. She's building a business.","Access is limited by design.

→ https://hotica.com/host/MaryLee
£15/month. Real access. Real her.",ARRIVAL,Creator thread — post replies immediately at 12:01 and 12:02. Using CarlaReysX photo as stand-in (MaryLee photo not yet in library)
04/22/2026,12:01,X (Twitter),Day 1 — Reply 1 MaryLee,"Why she does it:

Fewer subscribers = more personal attention.
More attention = zero churn.
Zero churn = predictable income every single month.

She's not chasing numbers. She's building a business.",,,,ARRIVAL,Reply to 12:00 post
04/22/2026,12:02,X (Twitter),Day 1 — Reply 2 MaryLee,"Access is limited by design.

→ https://hotica.com/host/MaryLee
£15/month. Real access. Real her.",,,,ARRIVAL,Profile link live
04/22/2026,15:00,X (Twitter),Day 1 — PRIVATE ACCESS teaser,"You were not supposed to find this.

→ hotica.com 🔒",features/ig-teaser-private-access.mp4,,,ARRIVAL,21.8s — mystery/tease hook
04/22/2026,18:00,X (Twitter),Day 1 — Film 2 — 3AM,"3:17am. She's still online.

Some people found her first.

→ hotica.com",features/film2-3am.mp4,,,ARRIVAL,Moonlight (Kali Uchis) — late-night mood
04/22/2026,20:30,X (Twitter),Day 1 — Lola Yang close,"Posts every single day.
Replies to every message.
Has never missed.

That is not content. That is a relationship.

→ https://hotica.com/host/LolaYang",,,,ARRIVAL,Text-only evening close — LolaYang photo not yet in library. Drive profile clicks before midnight
04/22/2026,08:00,Instagram,Day 1 IG — Carla Reys opener,"She only exists here. Limited spots. All hers. 🔥

Link in bio.

#hotica #adultcreator #exclusivecontent #creatoreconomy #UKcreators",media/Model Photos/CarlaReysX4.png,,,ARRIVAL,Set bio link → https://hotica.com/host/CarlaReysX
04/22/2026,12:00,Instagram,Day 1 IG — Carla midday,"No limits. No filter. Just her. 📸

Link in bio.

#hotica #adultcreator #exclusivecontent #creatoreconomy #UKcreators",media/Model Photos/CarlaReysX20.png,,,ARRIVAL,Set bio link → https://hotica.com/host/CarlaReysX
04/22/2026,16:00,Instagram,Day 1 IG Reel — Sizzle,"44 creators. One platform. First look. 🔥

Link in bio.

#hotica #adultcreator #exclusivecontent #creatoreconomy #UKcreators",features/hotica-sizzle.mp4,,,ARRIVAL,34s sizzle reel — platform intro
04/22/2026,20:00,Instagram,Day 1 IG Reel — Built Different,"Built different. 8 creators. One standard. 🔥

Link in bio.

#hotica #adultcreator #exclusivecontent #creatoreconomy #UKcreators",features/film1-built-different.mp4,,,ARRIVAL,Film 1 — 67.9s reel. Bodak Yellow audio
04/23/2026,08:00,X (Twitter),Day 2 — Morning hot take,"Most platforms show you what they want you to see.

Hotica shows you everything.

The difference is £6,200 a month.",,,,THE STANDARD,No image — optimised for shares and reach
04/23/2026,09:00,X (Twitter),Day 2 — CurlyLoverr drop,"She doesn't do average.

Never has.

→ https://hotica.com/host/CurlyLoverr 🌹",,,,THE STANDARD,Text-only hook — CurlyLoverr photo not yet in library
04/23/2026,12:00,X (Twitter),Day 2 — CurlyLoverr thread,"She deleted her other accounts 6 months ago.

Made £6,200 last month on Hotica.

Best decision she ever made. 🌹

→ https://hotica.com/host/CurlyLoverr",media/Model Photos/CarlaReysX4.png,"What changed:

Other platforms → thousands of followers, £0
Hotica → 820 subscribers, £6,200/month

Same content. Different platform. Different income.","She posts daily. Responds to messages. Builds real connection.

Her subscribers have been with her since month one.

→ https://hotica.com/host/CurlyLoverr
First message is free. 🔥",THE STANDARD,Creator thread — post replies at 12:01 and 12:02. Using CarlaReysX photo as stand-in
04/23/2026,12:01,X (Twitter),Day 2 — Reply 1 CurlyLoverr,"What changed:

Other platforms → thousands of followers, £0
Hotica → 820 subscribers, £6,200/month

Same content. Different platform. Different income.",,,,THE STANDARD,Reply to 12:00 post
04/23/2026,12:02,X (Twitter),Day 2 — Reply 2 CurlyLoverr,"She posts daily. Responds to messages. Builds real connection.

Her subscribers have been with her since month one.

→ https://hotica.com/host/CurlyLoverr
First message is free. 🔥",,,,THE STANDARD,Profile link live
04/23/2026,14:00,X (Twitter),Day 2 — Film 3 — The List,"Not everyone gets in.

The door is open. For now.

→ hotica.com",features/film3-the-list-v2.mp4,,,THE STANDARD,42s — Doja Cat audio. Scarcity/FOMO
04/23/2026,17:00,X (Twitter),Day 2 — Carla Reys photo close,"She raises the standard every time.

→ https://hotica.com/host/CarlaReysX 🔥",media/Model Photos/CarlaReysX20.png,,,THE STANDARD,Afternoon photo — Carla is live
04/23/2026,19:00,X (Twitter),Day 2 — Film 5 — The Editorial,"The editorial.

Your invitation is waiting.

→ hotica.com ✨",features/film5-flip-editorial-v2.mp4,,,THE STANDARD,34.5s — brand guide editorial v2
04/23/2026,21:00,X (Twitter),Day 2 — Film 5 — Bartier,"They don't do average.

Six names. Six standards. Zero limits.

→ hotica.com 🔥",features/film5-flip-editorial-bartier-v2.mp4,,,THE STANDARD,30.5s — Bartier Cardi audio. Multi-model editorial v2
04/23/2026,08:00,Instagram,Day 2 IG — MaryLee opener,"She controls who gets access. That's not a feature. That's the point.

→ https://hotica.com/host/MaryLee

Link in bio.

#hotica #adultcreator #exclusivecontent #creatoreconomy #UKcreators",media/Model Photos/CarlaReysX4.png,,,THE STANDARD,Set bio link → https://hotica.com/host/MaryLee. Using CarlaReysX photo as stand-in
04/23/2026,11:00,Instagram,Day 2 IG — LolaYang midday,"Some things you don't find twice.

→ https://hotica.com/host/LolaYang

Link in bio.

#hotica #adultcreator #exclusivecontent #creatoreconomy #UKcreators",media/Model Photos/CarlaReysX20.png,,,THE STANDARD,Set bio link → https://hotica.com/host/LolaYang. Using CarlaReysX photo as stand-in
04/23/2026,15:00,Instagram,Day 2 IG Reel — Film 4 Letters,"Real connection. Real creators. She replied in 4 minutes. 💛

Link in bio.

#hotica #adultcreator #exclusivecontent #creatoreconomy #UKcreators",features/film4-letters.mp4,,,THE STANDARD,Film 4 — 67.7s. MAGIC (Taylor Belle) audio
04/23/2026,19:00,Instagram,Day 2 IG Reel — The List,"Not everyone gets in. 🔒

Link in bio.

#hotica #adultcreator #exclusivecontent #creatoreconomy #UKcreators",features/film3-the-list-v2.mp4,,,THE STANDARD,Film 3 v2 — 42s reel
04/23/2026,21:00,Instagram,Day 2 IG Reel — Bartier Editorial,"Six creators. No limits. Your invitation is waiting. ✨

Link in bio.

#hotica #adultcreator #exclusivecontent #creatoreconomy #UKcreators",features/film5-flip-editorial-bartier-v2.mp4,,,THE STANDARD,Film 5 Bartier v2 — 30.5s prime time close
